customerID,tenure,StreamingTV,StreamingMovies,Streaming Service,Contract,MonthlyCharges,TotalCharges,Churn,Customer Churn
7590-VHVEG,1,No,No,0,Month-to-month,29.85,29.85,No,0
3668-QPYBK,2,No,No,0,Month-to-month,53.85,108.15,Yes,1
9237-HQITU,2,No,No,0,Month-to-month,70.7,151.65,Yes,1
9305-CDSKC,8,Yes,Yes,1,Month-to-month,99.65,820.5,Yes,1
1452-KIOVK,22,Yes,No,1,Month-to-month,89.1,1949.4,No,0
6713-OKOMC,10,No,No,0,Month-to-month,29.75,301.9,No,0
7892-POOKP,28,Yes,Yes,1,Month-to-month,104.8,3046.05,Yes,1
9763-GRSKD,13,No,No,0,Month-to-month,49.95,587.45,No,0
0280-XJGEX,49,Yes,Yes,1,Month-to-month,103.7,5036.3,Yes,1
5129-JLPIS,25,Yes,Yes,1,Month-to-month,105.5,2686.05,No,0
4190-MFLUW,10,No,No,0,Month-to-month,55.2,528.35,Yes,1
4183-MYFRB,21,No,Yes,1,Month-to-month,90.05,1862.9,No,0
8779-QRDMV,1,No,Yes,1,Month-to-month,39.65,39.65,Yes,1
1066-JKSGK,1,No internet service,No internet service,0,Month-to-month,20.15,20.15,Yes,1
6322-HRPFA,49,No,No,0,Month-to-month,59.6,2970.3,No,0
6865-JZNKO,30,No,No,0,Month-to-month,55.3,1530.6,No,0
6467-CHFZW,47,Yes,Yes,1,Month-to-month,99.35,4749.15,Yes,1
8665-UTDHZ,1,No,No,0,Month-to-month,30.2,30.2,Yes,1
8773-HHUOZ,17,Yes,Yes,1,Month-to-month,64.7,1093.1,Yes,1
4929-XIHVW,2,Yes,Yes,1,Month-to-month,95.5,181.65,No,0
7310-EGVHZ,1,No internet service,No internet service,0,Month-to-month,20.2,20.2,No,0
3413-BMNZE,1,No,No,0,Month-to-month,45.25,45.25,No,0
6047-YHPVI,5,No,No,0,Month-to-month,69.7,316.9,Yes,1
6572-ADKRS,46,No,No,0,Month-to-month,74.8,3548.3,No,0
5380-WJKOV,34,Yes,Yes,1,Month-to-month,106.35,3549.25,Yes,1
